goos: darwin
goarch: arm64
pkg: github.com/imajinyun/gofly/bench
cpu: Apple M4 Pro
BenchmarkHTTPPathParams/chi-14              	  715155	      1761 ns/op	    6907 B/op	      25 allocs/op
BenchmarkHTTPPathParams/chi-14              	  658333	      1711 ns/op	    6907 B/op	      25 allocs/op
BenchmarkHTTPPathParams/chi-14              	  709086	      1688 ns/op	    6907 B/op	      25 allocs/op
BenchmarkHTTPPathParams/fiber-14            	  225130	      5420 ns/op	   12041 B/op	      39 allocs/op
BenchmarkHTTPPathParams/fiber-14            	  219931	      5492 ns/op	   12013 B/op	      39 allocs/op
BenchmarkHTTPPathParams/fiber-14            	  218326	      5372 ns/op	   11998 B/op	      39 allocs/op
BenchmarkHTTPPathParams/fiber-14            	  227850	      5426 ns/op	   12012 B/op	      39 allocs/op
BenchmarkHTTPPathParams/fiber-14            	  220442	      5414 ns/op	   12017 B/op	      39 allocs/op
BenchmarkHTTPPathParams/hertz-14            	  820470	      1434 ns/op	    4855 B/op	      42 allocs/op
BenchmarkHTTPPathParams/hertz-14            	  832225	      1436 ns/op	    4855 B/op	      42 allocs/op
BenchmarkHTTPPathParams/hertz-14            	  811774	      1461 ns/op	    4855 B/op	      42 allocs/op
BenchmarkHTTPPathParams/hertz-14            	  770108	      1459 ns/op	    4855 B/op	      42 allocs/op
BenchmarkHTTPPathParams/hertz-14            	  840261	      1446 ns/op	    4855 B/op	      42 allocs/op
BenchmarkHTTPJSONBinding/net_http-14        	  546920	      2075 ns/op	    7493 B/op	      31 allocs/op
BenchmarkHTTPJSONBinding/net_http-14        	  545385	      2100 ns/op	    7493 B/op	      31 allocs/op
BenchmarkHTTPJSONBinding/net_http-14        	  577473	      2045 ns/op	    7493 B/op	      31 allocs/op
BenchmarkHTTPJSONBinding/net_http-14        	  591999	      2147 ns/op	    7493 B/op	      31 allocs/op
BenchmarkHTTPJSONBinding/net_http-14        	  522417	      2182 ns/op	    7493 B/op	      31 allocs/op
BenchmarkHTTPJSONBinding/gofly-14           	  357486	      3341 ns/op	   10004 B/op	      57 allocs/op
BenchmarkHTTPJSONBinding/gofly-14           	  359532	      3331 ns/op	   10004 B/op	      57 allocs/op
BenchmarkHTTPJSONBinding/gofly-14           	  351819	      3214 ns/op	   10004 B/op	      57 allocs/op
BenchmarkHTTPJSONBinding/gofly-14           	  374994	      3297 ns/op	   10004 B/op	      57 allocs/op
BenchmarkHTTPJSONBinding/gofly-14           	  359457	      3296 ns/op	   10004 B/op	      57 allocs/op
BenchmarkHTTPJSONBinding/gin-14             	  605772	      2037 ns/op	    7532 B/op	      30 allocs/op
BenchmarkHTTPJSONBinding/gin-14             	  616016	      2034 ns/op	    7532 B/op	      30 allocs/op
BenchmarkHTTPJSONBinding/gin-14             	  561481	      2078 ns/op	    7532 B/op	      30 allocs/op
BenchmarkHTTPJSONBinding/gin-14             	  590131	      2112 ns/op	    7532 B/op	      30 allocs/op
BenchmarkHTTPJSONBinding/gin-14             	  559083	      2066 ns/op	    7532 B/op	      30 allocs/op
BenchmarkHTTPJSONBinding/echo-14            	  580770	      2047 ns/op	    7500 B/op	      31 allocs/op
BenchmarkHTTPJSONBinding/echo-14            	  620126	      1991 ns/op	    7500 B/op	      31 allocs/op
BenchmarkHTTPJSONBinding/echo-14            	  554835	      2140 ns/op	    7500 B/op	      31 allocs/op
BenchmarkHTTPJSONBinding/echo-14            	  570166	      2072 ns/op	    7500 B/op	      31 allocs/op
BenchmarkHTTPJSONBinding/echo-14            	  611019	      1957 ns/op	    7500 B/op	      31 allocs/op
BenchmarkHTTPJSONBinding/chi-14             	  553678	      2169 ns/op	    7868 B/op	      33 allocs/op
BenchmarkHTTPJSONBinding/chi-14             	  566526	      2188 ns/op	    7869 B/op	      33 allocs/op
BenchmarkHTTPJSONBinding/chi-14             	  544204	      2150 ns/op	    7869 B/op	      33 allocs/op
BenchmarkHTTPJSONBinding/chi-14             	  539691	      2171 ns/op	    7869 B/op	      33 allocs/op
BenchmarkHTTPJSONBinding/chi-14             	  564074	      2174 ns/op	    7869 B/op	      33 allocs/op
BenchmarkHTTPJSONBinding/fiber-14           	  130386	      8800 ns/op	   13508 B/op	      48 allocs/op
BenchmarkHTTPJSONBinding/fiber-14           	  143226	      8550 ns/op	   13499 B/op	      48 allocs/op
BenchmarkHTTPJSONBinding/fiber-14           	  137130	      8584 ns/op	   13485 B/op	      48 allocs/op
BenchmarkHTTPJSONBinding/fiber-14           	  138811	      8530 ns/op	   13493 B/op	      48 allocs/op
BenchmarkHTTPJSONBinding/fiber-14           	  144638	      8643 ns/op	   13502 B/op	      48 allocs/op
BenchmarkHTTPJSONBinding/hertz-14           	  710404	      1625 ns/op	    6959 B/op	      51 allocs/op
BenchmarkHTTPJSONBinding/hertz-14           	  745879	      1600 ns/op	    6830 B/op	      51 allocs/op
BenchmarkHTTPJSONBinding/hertz-14           	  748483	      1645 ns/op	    7098 B/op	      51 allocs/op
BenchmarkHTTPJSONBinding/hertz-14           	  717411	      1719 ns/op	    7153 B/op	      51 allocs/op
